ID,Block Number,Restriction,Time Limit,Street,Payment Time,Total Space,Hourly Rate,Mobile Payment Number,Pay Type,Business Zone,Center Point,Line
647,3366,NONE,2 HOUR,Lombard Ave,0800 - 1730,2,1.75,204530,"Paystation, PaybyPhone",Exchange,POINT (-97.1356472781571 49.8959005066184),"MULTILINESTRING ((-97.1355417544558 49.8958761342818, -97.1357528041456 49.8959248793628))"
1160,7211,NONE,2 HOUR,Albert St,0800 - 1730,1,2.75,204487,"Paystation, PaybyPhone",Exchange,POINT (-97.1403807172503 49.8962473208899),"MULTILINESTRING ((-97.1403801401475 49.8962248403569, -97.1403812941898 49.8962697950401))"
268,4227,NONE,2 HOUR,Kennedy St,0800 - 1730,4,2.75,204310,"Paystation, PaybyPhone",Downtown,POINT (-97.1460687025484 49.8873791066299),"MULTILINESTRING ((-97.1460297865327 49.8873074339068, -97.146107619309 49.8874507804992))"
1050,3384,NONE,2 HOUR,Edmonton St,0800 - 1730,8,2.75,204263,"Paystation, PaybyPhone",Downtown,POINT (-97.1449019864022 49.8879310353865),"MULTILINESTRING ((-97.1447780466413 49.8877028001057, -97.1450259268561 49.8881592696528))"
1119,4979,"AM, PM",2 HOUR,William Ave,0900 - 1530,6,1.75,204436,"Paystation, PaybyPhone",Downtown,POINT (-97.1428825548748 49.9001461647253),"MULTILINESTRING ((-97.1426644178542 49.9000760892438, -97.143100694098 49.9002162403016))"
718,PBP-130,PM,4 HOUR,Sherbrook St,0800 - 1530,5,2.75,204630,PaybyPhone Only,Health Science Centre,POINT (-97.154645412007 49.9056036807235),"MULTILINESTRING ((-97.1547444290778 49.9054771873606, -97.1545463950872 49.9057301731457))"
2418,4510,NONE,2 HOUR,Adelaide St,0800 - 1730,5,1.75,204483,"Paystation, PaybyPhone",Exchange,POINT (-97.1429177331838 49.8992367666284),"MULTILINESTRING ((-97.1430183634124 49.8991068246663, -97.1428171020451 49.8993667089785))"
1000,3144,"AM, PM",2 HOUR,Smith St,0900 - 1530,6,1.75,204399,"Paystation, PaybyPhone",Downtown,POINT (-97.1398056305105 49.8897731950723),"MULTILINESTRING ((-97.1397364606049 49.8896459295513, -97.1398748011398 49.8899004612124))"
391,4276,"AM, PM",2 HOUR,York Ave,0900 - 1530,5,1.75,204455,"Paystation, PaybyPhone",Downtown,POINT (-97.1414539739173 49.8891446970706),"MULTILINESTRING ((-97.1412421666522 49.8891926690029, -97.1416657824777 49.8890967243638))"
2242,3197,NONE,4 HOUR,William Ave,0800 - 1730,3,2.75,204637,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1623240996236 49.9062494918639),"MULTILINESTRING ((-97.1621921146295 49.9062071200483, -97.1624259604344 49.906282192606, -97.1624560969906 49.9062918674007))"
2538,2517,NONE,2 HOUR,Fort St,0800 - 1730,1,1.75,204273,"Paystation, PaybyPhone",Downtown,POINT (-97.1360795057661 49.8882446821498),"MULTILINESTRING ((-97.1360600596669 49.8882087383053, -97.1360989499212 49.8882806223441))"
549,7202,NONE,2 HOUR,Rorie St,0800 - 1730,3,2.75,204562,"Paystation, PaybyPhone",Exchange,POINT (-97.1364693129695 49.8978015827505),"MULTILINESTRING ((-97.1365128536534 49.8977087210016, -97.1364257724186 49.897894443842))"
192,PBP-054,NONE,2 HOUR,Lombard Ave,0800 - 1730,3,1.75,204529,PaybyPhone Only,Exchange,POINT (-97.1342562388525 49.8954586601689),"MULTILINESTRING ((-97.1341579377552 49.8954359550982, -97.1342579724465 49.8954590605844, -97.1343545427884 49.8954813662362))"
1060,4220,"AM, PM",2 HOUR,St Mary Ave,0900 - 1530,10,2.75,204416,"Paystation, PaybyPhone",Downtown,POINT (-97.1451187257088 49.889839171578),"MULTILINESTRING ((-97.1447905258508 49.8899137480354, -97.1451026950609 49.8898428142301, -97.145446924884 49.8897645941098))"
120,PBP-058,NONE,2 HOUR,Princess St,0800 - 1730,1,1.75,204383,PaybyPhone Only,Downtown,POINT (-97.1392372487478 49.9023380181796),"MULTILINESTRING ((-97.1392681148847 49.9022977206092, -97.1392063802956 49.9023783186974))"
1656,3203,AM,2 HOUR,Smith St,0900 - 1730,4,1.75,204402,"Paystation, PaybyPhone",Downtown,POINT (-97.1397334410299 49.8892499566633),"MULTILINESTRING ((-97.1396750823063 49.889142599465, -97.1397917989721 49.8893573119172))"
2440,PBP-161,NONE,2 HOUR,Assiniboine Ave,0800 - 1730,2,1.75,204208,PaybyPhone Only,Downtown,POINT (-97.1427686255987 49.8836562697521),"MULTILINESTRING ((-97.1427001202041 49.8836825052809, -97.142837128855 49.8836300349733))"
469,PBP-168,NONE,2 HOUR,McDermot Ave,0800 - 1730,4,1.75,204345,PaybyPhone Only,Downtown,POINT (-97.1443965431712 49.8982617281734),"MULTILINESTRING ((-97.1442256949014 49.8982068584429, -97.1445673930913 49.8983165980581))"
2088,PBP-007,NONE,4 HOUR,Tecumseh St,0800 - 1730,5,2.75,204634,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1635239837929 49.9052216258202),"MULTILINESTRING ((-97.1636261551728 49.9050885629058, -97.1634218128838 49.9053546872976))"
2662,PBP-102,NONE,2 HOUR,Ellen St,0800 - 1730,2,1.75,204686,PaybyPhone Only,No Biz Zone,POINT (-97.1466649110362 49.8992476425341),"MULTILINESTRING ((-97.1467160069471 49.8991815458195, -97.1466976623455 49.8992052702418, -97.1466138239159 49.8993137367748))"
2302,PBP-212,NONE,2 HOUR,Waterfront Dr,0800 - 1730,5,1.75,204429,"Paystation, PaybyPhone",Downtown,POINT (-97.1316101981641 49.8936902848819),"MULTILINESTRING ((-97.1315791694557 49.8935449918411, -97.131593586547 49.8936312102147, -97.131625188797 49.8937435948365, -97.1316602252873 49.8938333611616))"
689,PBP-097,NONE,2 HOUR,Princess St,0800 - 1730,8,1.75,204388,PaybyPhone Only,Downtown,POINT (-97.1386331821212 49.9031225781436),"MULTILINESTRING ((-97.1387603569436 49.9029565477435, -97.1387297141756 49.9029965527218, -97.1386054638342 49.9031587650419, -97.1385060120479 49.9032886129578))"
251,PBP-082,"AM, PM",2 HOUR,York Ave,0900 - 1530,7,1.75,204450,PaybyPhone Only,Downtown,POINT (-97.1493942719388 49.8876345665835),"MULTILINESTRING ((-97.1490832359032 49.8877015198545, -97.1497053093613 49.8875676119962))"
2928,4229,NONE,2 HOUR,Albert St,,1,2.75,204486,"Paystation, PaybyPhone",Exchange,POINT (-97.1401909650791 49.8971992320954),"MULTILINESTRING ((-97.1401919548539 49.8971632676233, -97.140189975368 49.8972351941976))"
486,PBP-027,NONE,2 HOUR,Adelaide St,0800 - 1730,9,1.75,204482,PaybyPhone Only,Exchange,POINT (-97.1426081458622 49.8993552830743),"MULTILINESTRING ((-97.1427336584153 49.8991932129961, -97.1424826318694 49.8995173537873))"
18,3444,NONE,2 HOUR,Assiniboine Ave,0800 - 1730,7,1.75,204207,"Paystation, PaybyPhone",Downtown,POINT (-97.134663175534 49.8866554562867),"MULTILINESTRING ((-97.1343648786104 49.8867698785048, -97.1345297540931 49.8867065427465, -97.1349616090428 49.886541186515))"
35,4236,NONE,2 HOUR,Fort St,0800 - 1730,3,2.75,204281,"Paystation, PaybyPhone",Downtown,POINT (-97.1392136315379 49.8937197082454),"MULTILINESTRING ((-97.139179187179 49.8936560432024, -97.1392480762921 49.8937833738409))"
798,PBP-021,NONE,2 HOUR,Alexander Ave,0800 - 1730,13,1.75,204680,PaybyPhone Only,No Biz Zone,POINT (-97.1425736247525 49.9035063944615),"MULTILINESTRING ((-97.1416883643307 49.9032224505526, -97.1427818161782 49.9035731696042, -97.1434588939292 49.9037903311326))"
329,PBP-122,NONE,2 HOUR,Carlton St,0800 - 1730,2,1.75,204792,PaybyPhone Only,West End,POINT (-97.1472986181834 49.8950939722516),"MULTILINESTRING ((-97.1472756109547 49.8950515391806, -97.147321626141 49.8951364065877))"
2584,4909,NONE,2 HOUR,Hargrave St,0800 - 1730,3,1.75,204297,"Paystation, PaybyPhone",Downtown,POINT (-97.1420201760063 49.8880713309921),"MULTILINESTRING ((-97.1419781180582 49.8879938445694, -97.1420622346276 49.8881488183909))"
739,PBP-053,"AM, PM",2 HOUR,Logan Ave,0900 - 1530,6,1.75,204699,PaybyPhone Only,No Biz Zone,POINT (-97.1413491537824 49.9044119391402),"MULTILINESTRING ((-97.1411665162001 49.9043533593906, -97.1415317902837 49.9044705181139))"
582,4171,NONE,2 HOUR,Fort St,0800 - 1730,1,1.75,204274,"Paystation, PaybyPhone",Downtown,POINT (-97.1374080134605 49.8907644337039),"MULTILINESTRING ((-97.1373965007246 49.8907432173063, -97.1374195244239 49.8907856468152))"
684,PBP-128,NONE,2 HOUR,Elgin Ave,0800 - 1730,4,1.75,204684,PaybyPhone Only,No Biz Zone,POINT (-97.1428410059626 49.9011894394752),"MULTILINESTRING ((-97.1426663337908 49.9011335796377, -97.1426681143448 49.9011341521507, -97.1430156743065 49.9012452945718))"
81,7219,NONE,2 HOUR,James Ave,0800 - 1730,3,1.75,204509,"Paystation, PaybyPhone",Exchange,POINT (-97.1342526016505 49.8989696649079),"MULTILINESTRING ((-97.1341365826509 49.8989273679009, -97.1342207235598 49.8989594616784, -97.1343720328727 49.8990078911769))"
630,4183,NONE,2 HOUR,Garry St,0800 - 1730,5,1.75,204282,"Paystation, PaybyPhone",Downtown,POINT (-97.1391640812187 49.8909246741166),"MULTILINESTRING ((-97.139085193406 49.8907792730331, -97.1392429684931 49.8910700732783))"
378,4274,"AM, PM",2 HOUR,York Ave,0900 - 1530,11,2.75,204453,"Paystation, PaybyPhone",Downtown,POINT (-97.1443628488733 49.8884973329661),"MULTILINESTRING ((-97.1438530631037 49.8886128034843, -97.1448726317078 49.8883818603254))"
603,4243,NONE,2 HOUR,Fort St,0800 - 1730,2,1.75,204278,"Paystation, PaybyPhone",Downtown,POINT (-97.1368245068049 49.8893026639565),"MULTILINESTRING ((-97.1367906383519 49.8892400973516, -97.1368583747535 49.8893652294575))"
1260,4873,NONE,2 HOUR,Assiniboine Ave,0800 - 1730,2,1.75,204204,"Paystation, PaybyPhone",Downtown,POINT (-97.1408498293872 49.8843921295998),"MULTILINESTRING ((-97.1407785580664 49.8844194223451, -97.1409211046103 49.8843648352857))"
2306,2275,NONE,2 HOUR,Kennedy St,0800 - 1730,1,2.75,204307,"Paystation, PaybyPhone",Downtown,POINT (-97.1470843546074 49.8896060531223),"MULTILINESTRING ((-97.1470671291942 49.8895743076452, -97.1471015810327 49.8896378004204))"
635,PBP-196,"AM, PM",2 HOUR,Broadway,0900 - 1530,2,1.75,204224,PaybyPhone Only,Downtown,POINT (-97.1359957326674 49.8884392658499),"MULTILINESTRING ((-97.1358969343574 49.8884616270743, -97.1360945329045 49.8884169040846))"
273,PBP-083,"AM, PM",2 HOUR,York Ave,0900 - 1530,3,1.75,204457,PaybyPhone Only,Downtown,POINT (-97.1503228629697 49.8875015212905),"MULTILINESTRING ((-97.1501522993279 49.8874955919117, -97.1504934249699 49.8875074503605))"
2926,4958,NONE,2 HOUR,Dagmar St,0800 - 1730,2,1.75,204681,"Paystation, PaybyPhone",No Biz Zone,POINT (-97.1452490410484 49.8994335842579),"MULTILINESTRING ((-97.1452957249986 49.899373251788, -97.1452175609964 49.8994742677223, -97.1452023870187 49.899493911388))"
162,3446,NONE,4 HOUR,Bannatyne Ave,0800 - 1730,3,2.75,204603,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1554966583341 49.9029693027295),"MULTILINESTRING ((-97.1553480344027 49.9029215712863, -97.155645283898 49.9030170344127))"
395,4267,AM,2 HOUR,St Mary Ave,0900 - 1730,4,1.75,204418,"Paystation, PaybyPhone",Downtown,POINT (-97.14225502625 49.8906198922215),"MULTILINESTRING ((-97.14208667393 49.8906581421344, -97.1424233810857 49.8905816414327))"
335,4537,NONE,2 HOUR,Hargrave St,0800 - 1730,10,1.75,204799,"Paystation, PaybyPhone",West End,POINT (-97.1460694592881 49.8954976695377),"MULTILINESTRING ((-97.145954304586 49.8952855272667, -97.1461846148916 49.8957098114899))"
2543,PBP-002,NONE,2 HOUR,Memorial Blvd,0800 - 1730,6,1.75,204347,PaybyPhone Only,Downtown,POINT (-97.1502991941571 49.8903932240715),"MULTILINESTRING ((-97.1501957641667 49.890227844671, -97.1503682922743 49.8905037078348, -97.1504026146082 49.8905586060111))"
1856,4184,NONE,2 HOUR,Princess St,0800 - 1730,6,1.75,204380,"Paystation, PaybyPhone",Downtown,POINT (-97.1405662048433 49.9006069912912),"MULTILINESTRING ((-97.1407053518231 49.9004254591763, -97.1406841894314 49.9004530579821, -97.1406090299523 49.9005510764724, -97.1404313251935 49.9007830966338, -97.1404271442699 49.9007885555014))"
28,4214,NONE,2 HOUR,Fort St,0800 - 1730,3,1.75,204276,"Paystation, PaybyPhone",Downtown,POINT (-97.1386687994892 49.8927126314684),"MULTILINESTRING ((-97.1386182813524 49.8926192555867, -97.1387193176245 49.8928060069642))"
2900,,NONE,2 HOUR,Memorial Blvd,,46,,999999999,,,POINT (-97.1488688187604 49.8874725215693),"MULTILINESTRING ((-97.1488549219864 49.8874519153254, -97.1488827191484 49.8874931331528))"
938,4879,NONE,2 HOUR,Hargrave St,0800 - 1730,5,1.75,204296,"Paystation, PaybyPhone",Downtown,POINT (-97.1407291705476 49.8857470022774),"MULTILINESTRING ((-97.1406485040553 49.8855983811036, -97.1408098375936 49.8858956235))"
204,PBP-118,NONE,9.5 HOUR,Waterfront Dr,0800 - 1730,8,1.75,204715,PaybyPhone Only,No Biz Zone,POINT (-97.127327629899 49.9023295210513),"MULTILINESTRING ((-97.1274188296052 49.902085860564, -97.1272364289539 49.902573182316))"
2898,PBP-016,NONE,2 HOUR,Westbrook St,0800 - 1730,2,1.75,204771,PaybyPhone Only,Exchange,POINT (-97.1347271992648 49.8953575926157),"MULTILINESTRING ((-97.1347630319792 49.8952909078379, -97.1346913653999 49.895424279339))"
744,PBP-068,NONE,2 HOUR,Stanley St,0800 - 1730,1,1.75,204710,PaybyPhone Only,No Biz Zone,POINT (-97.1394186991371 49.9044131530755),"MULTILINESTRING ((-97.1394403463599 49.9043849613772, -97.139397045508 49.9044413530798))"
1082,4247,NONE,2 HOUR,Garry St,0800 - 1730,4,1.75,204284,"Paystation, PaybyPhone",Downtown,POINT (-97.1396351938624 49.8917797822191),"MULTILINESTRING ((-97.139566322179 49.8916528388087, -97.1397040660109 49.8919067257783))"
236,4530,NONE,2 HOUR,Balmoral St,0800 - 1730,5,1.75,204211,"Paystation, PaybyPhone",Downtown,POINT (-97.1530569018757 49.8896960426548),"MULTILINESTRING ((-97.1530657409351 49.8895286890693, -97.1530579797468 49.8896756376256, -97.1530480615849 49.8898633963306))"
386,PBP-012,NONE,2 HOUR,St Mary Ave,0800 - 1730,4,2.75,204414,PaybyPhone Only,Downtown,POINT (-97.1454669642952 49.8898887628767),"MULTILINESTRING ((-97.1452534219764 49.8899372866424, -97.1456805047819 49.8898402390375))"
505,4508,NONE,2 HOUR,Adelaide St,0800 - 1730,4,1.75,204480,"Paystation, PaybyPhone",Exchange,POINT (-97.1419732985007 49.9005213240061),"MULTILINESTRING ((-97.1420484013511 49.9004215863476, -97.1418981957754 49.9006210610376))"
75,3385,NONE,2 HOUR,Market Ave,0800 - 1730,3,2.75,204535,"Paystation, PaybyPhone",Exchange,POINT (-97.1368214548237 49.8987650129337),"MULTILINESTRING ((-97.1367048204621 49.8987277400116, -97.1369380892099 49.8988022856892))"
898,PBP-166,NONE,2 HOUR,Pacific Ave,0800 - 1730,10,1.75,204356,PaybyPhone Only,Downtown,POINT (-97.1432396526348 49.9031765825554),"MULTILINESTRING ((-97.1429279078683 49.903076610439, -97.1435513975234 49.9032765534609))"
2904,4535,NONE,2 HOUR,Hargrave St,0800 - 1730,3,2.75,204295,"Paystation, PaybyPhone",Downtown,POINT (-97.1449285946226 49.8934516278525),"MULTILINESTRING ((-97.1448710148669 49.8933455612813, -97.1448808799022 49.8933637438966, -97.144986184009 49.8935576991333))"
642,PBP-072,"AM, PM",2 HOUR,Main St,0900 - 1530,2,1.75,204338,PaybyPhone Only,Downtown,POINT (-97.135639049605 49.890690543139),"MULTILINESTRING ((-97.1356157215736 49.8906481833014, -97.1356623774151 49.8907329024955))"
114,PBP-076,AM,2 HOUR,Princess St,0900 - 1730,2,1.75,204378,PaybyPhone Only,Downtown,POINT (-97.140158437615 49.9014159162905),"MULTILINESTRING ((-97.1401893041485 49.9013756167725, -97.1401275715257 49.9014562151531))"
457,3393,NONE,2 HOUR,Donald St,0800 - 1730,5,1.75,204261,"Paystation, PaybyPhone",Downtown,POINT (-97.1438160361115 49.8961813120602),"MULTILINESTRING ((-97.1438887815407 49.896089201587, -97.1437432906273 49.8962734222059))"
1141,PBP-077,NONE,2 HOUR,King St,0800 - 1730,4,1.75,204318,PaybyPhone Only,Downtown,POINT (-97.1371347388901 49.9033240040074),"MULTILINESTRING ((-97.1371997871785 49.9032389943525, -97.1371382948928 49.9033193566844, -97.1370696914559 49.9034090140145))"
766,3125,"AM, PM",2 HOUR,Broadway,0900 - 1530,1,1.75,204218,"Paystation, PaybyPhone",Downtown,POINT (-97.1458303318605 49.88649445598),"MULTILINESTRING ((-97.1457974948018 49.8865018951203, -97.1458631631443 49.8864870181365))"
1040,PBP-141,NONE,2 HOUR,Carlton St,0800 - 1730,2,2.75,204238,PaybyPhone Only,Downtown,POINT (-97.145215562822 49.8912167835286),"MULTILINESTRING ((-97.1451856668472 49.891161616968, -97.1452454587252 49.8912719498231))"
2698,PBP-011,AM,4 HOUR,Lydia St,0900 - 1730,2,2.75,204614,PaybyPhone Only,Health Science Centre,POINT (-97.1549367411355 49.9009527156781),"MULTILINESTRING ((-97.1549832888135 49.9008914054374, -97.1548901940767 49.9010140249288))"
931,3407,NONE,2 HOUR,Edmonton St,0800 - 1730,9,1.75,204265,"Paystation, PaybyPhone",Downtown,POINT (-97.1428623763738 49.8842363968822),"MULTILINESTRING ((-97.1427270778832 49.8839871858839, -97.1429976764274 49.8844856080291))"
1094,3377,NONE,2 HOUR,Provencher Blvd,0800 - 1730,7,1.75,204439,"Paystation, PaybyPhone",Downtown,POINT (-97.1315244310896 49.8917220489936),"MULTILINESTRING ((-97.1318283871518 49.8918570466784, -97.1312204767047 49.8915870505039))"
2238,PBP-123,NONE,4 HOUR,Winnipeg Ave,0800 - 1730,1,2.75,204648,PaybyPhone Only,Health Science Centre,POINT (-97.1671163704501 49.9048309052282),"MULTILINESTRING ((-97.16705134157 49.9048100831343, -97.1671813969411 49.9048517265027))"
1176,PBP-189,AM,2 HOUR,Smith St,0900 - 1730,2,1.75,204403,PaybyPhone Only,Downtown,POINT (-97.1400463660036 49.8898339478196),"MULTILINESTRING ((-97.1400076141675 49.889762649328, -97.140085116453 49.8899052435361))"
724,PBP-155,"AM, PM",4 HOUR,William Ave,0900 - 1530,10,2.75,204646,PaybyPhone Only,Health Science Centre,POINT (-97.153766071984 49.9035043838342),"MULTILINESTRING ((-97.1533583310746 49.9033734392576, -97.1541738152931 49.9036353270409))"
1576,7225,NONE,2 HOUR,Hargrave St,0800 - 1730,4,1.75,204301,"Paystation, PaybyPhone",Downtown,POINT (-97.1426198762006 49.8891745494986),"MULTILINESTRING ((-97.1425551036522 49.8890551472806, -97.1426846490665 49.889293951675))"
914,PBP-031,NONE,2 HOUR,Albert St,0800 - 1730,3,2.75,204488,PaybyPhone Only,Exchange,POINT (-97.1402426011685 49.8962756681771),"MULTILINESTRING ((-97.1402400625488 49.8961767673119, -97.1402451398103 49.8963745694953))"
2858,PBP-089,NONE,2 HOUR,Ellen St,0800 - 1730,2,1.75,204691,PaybyPhone Only,No Biz Zone,POINT (-97.143909059752 49.9042372319848),"MULTILINESTRING ((-97.1439484863887 49.9041861203829, -97.143869637129 49.9042883382618))"
448,7227,AM,2 HOUR,Princess St,0900 - 1730,5,1.75,204559,"Paystation, PaybyPhone",Exchange,POINT (-97.1419484222959 49.8988589904221),"MULTILINESTRING ((-97.1420255225541 49.8987595052928, -97.1418713212184 49.8989584761472))"
284,4946,NONE,2 HOUR,Portage Ave,0800 - 1730,4,1.75,204373,"Paystation, PaybyPhone",Downtown,POINT (-97.1520556441143 49.8903576542562),"MULTILINESTRING ((-97.1519092405061 49.8904115383302, -97.1522020512089 49.8903037685943))"
198,3364,NONE,2 HOUR,Lombard Ave,0800 - 1730,7,1.75,204528,"Paystation, PaybyPhone",Exchange,POINT (-97.1337625072747 49.8954687612447),"MULTILINESTRING ((-97.1335331261339 49.8954157787402, -97.1339918883761 49.8955217431712))"
1036,PBP-156,"AM, PM",2 HOUR,Colony St,0900 - 1530,4,1.75,204245,PaybyPhone Only,Downtown,POINT (-97.151137389693 49.8918108692056),"MULTILINESTRING ((-97.1510896505273 49.8917245034697, -97.1511851299853 49.891897236651))"
2080,PBP-040,NONE,2 HOUR,Bannatyne Ave,0800 - 1730,3,1.75,204499,PaybyPhone Only,Exchange,POINT (-97.1346528643916 49.8971863766003),"MULTILINESTRING ((-97.1345198866126 49.8971556243748, -97.1347858448241 49.8972171292481))"
759,PBP-126,"AM, PM",4 HOUR,William Ave,0900 - 1530,4,2.75,204644,PaybyPhone Only,Health Science Centre,POINT (-97.1528541788529 49.903212576355),"MULTILINESTRING ((-97.1526889306976 49.9031595058119, -97.1530194289654 49.9032656471751))"
1316,4903,NONE,2 HOUR,Kennedy St,0800 - 1730,12,1.75,204313,"Paystation, PaybyPhone",Downtown,POINT (-97.1442973662288 49.8841620502292),"MULTILINESTRING ((-97.1441084317259 49.8838130306146, -97.1444863035207 49.884511069642))"
433,4223,NONE,2 HOUR,Bannatyne Ave,0800 - 1730,3,2.75,204500,"Paystation, PaybyPhone",Exchange,POINT (-97.1399623797048 49.8978420438509),"MULTILINESTRING ((-97.1398340809575 49.8978428139298, -97.1400906731102 49.8978412736624))"
1103,4528,NONE,2 HOUR,Colony St,0800 - 1730,2,1.75,204246,"Paystation, PaybyPhone",Downtown,POINT (-97.1510506668956 49.8899430250487),"MULTILINESTRING ((-97.1510558522834 49.8898848825667, -97.1510454815553 49.8900011668578))"
419,3146,"AM, PM",2 HOUR,Donald St,0900 - 1530,7,1.75,204258,"Paystation, PaybyPhone",Downtown,POINT (-97.1417486128947 49.890255604458),"MULTILINESTRING ((-97.1416680112839 49.890107106195, -97.1418292157361 49.8904041040186))"
824,PBP-078,NONE,2 HOUR,Princess St,0800 - 1730,5,1.75,204382,PaybyPhone Only,Downtown,POINT (-97.1394492159955 49.9023360617171),"MULTILINESTRING ((-97.1395638038932 49.9021864589715, -97.1393726475803 49.9024360267125, -97.1393346246889 49.9024856647428))"
1817,PBP-060,NONE,2 HOUR,Rorie St,0800 - 1730,2,2.75,204563,PaybyPhone Only,Exchange,POINT (-97.1365906623514 49.8979248246601),"MULTILINESTRING ((-97.1366049471273 49.8978943586341, -97.13657637861 49.8979552884395))"
597,4171,NONE,2 HOUR,Fort St,0800 - 1730,4,1.75,204274,"Paystation, PaybyPhone",Downtown,POINT (-97.1375625036472 49.8910500693829),"MULTILINESTRING ((-97.137516455348 49.8909652095846, -97.1376085512068 49.8911349275017))"
147,3418,NONE,4 HOUR,Furby St,0800 - 1730,6,2.75,204608,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1566153911676 49.9009708485658),"MULTILINESTRING ((-97.1567390398526 49.9008104201747, -97.1564917421904 49.9011312761375))"
372,4163,NONE,2 HOUR,Hargrave St,0800 - 1730,5,1.75,204292,"Paystation, PaybyPhone",Downtown,POINT (-97.1435958647943 49.8913238865952),"MULTILINESTRING ((-97.1435382762933 49.8912178186501, -97.1436534530997 49.8914299536853))"
559,2518,NONE,2 HOUR,Lily St,0800 - 1730,1,1.75,204518,"Paystation, PaybyPhone",Exchange,POINT (-97.1352530794187 49.899812640695),"MULTILINESTRING ((-97.1352799218253 49.8997983287235, -97.1352710174234 49.8998030764271, -97.1352262408521 49.8998269505932))"
55,3205,NONE,2 HOUR,Portage Ave,0800 - 1730,5,2.75,204370,"Paystation, PaybyPhone",Downtown,POINT (-97.1415411958761 49.8942222404324),"MULTILINESTRING ((-97.1413899459597 49.8942778074473, -97.1416924449849 49.8941666733896))"
497,4514,NONE,9.5 HOUR,Galt Ave,0800 - 1730,2,1.75,204693,"Paystation, PaybyPhone",No Biz Zone,POINT (-97.1321175876497 49.9007873333372),"MULTILINESTRING ((-97.1320334248007 49.9007603363024, -97.1322017532991 49.9008143311792))"
342,PBP-181,NONE,2 HOUR,Cumberland Ave,0800 - 1730,2,1.75,204249,PaybyPhone Only,Downtown,POINT (-97.1455444692822 49.896085068271),"MULTILINESTRING ((-97.1454823950877 49.8960647260391, -97.1455099861957 49.8960737678817, -97.1456065330262 49.896105407028))"
783,3173,NONE,4 HOUR,Tache Ave,0800 - 1730,7,2.75,204770,"Paystation, PaybyPhone",St Boniface,POINT (-97.1237623368884 49.886386586242),"MULTILINESTRING ((-97.12374152015 49.8861441690792, -97.1237831538441 49.8866290034967))"
399,PBP-165,PM,2 HOUR,York Ave,0800 - 1530,2,1.75,204442,PaybyPhone Only,Downtown,POINT (-97.1407807891784 49.8891793280073),"MULTILINESTRING ((-97.1406939754284 49.8891990268258, -97.1408676003976 49.8891596296821))"
819,PBP-191,NONE,2 HOUR,Pacific Ave,0800 - 1730,8,1.75,204357,PaybyPhone Only,Downtown,POINT (-97.1378099748666 49.9014564034354),"MULTILINESTRING ((-97.1375603714033 49.9013767021789, -97.1377688857944 49.9014432832765, -97.1380595761082 49.9015361031867))"
2915,PBP-088,NONE,2 HOUR,Stanley St,0800 - 1730,1,1.75,204709,PayByPhone Only,No Biz Zone,POINT (-97.1391879893315 49.9044587079267),"MULTILINESTRING ((-97.1392046933565 49.904436954067, -97.1391712896039 49.904480456168))"
626,4259,"AM, PM",2 HOUR,St Mary Ave,0900 - 1530,4,1.75,204407,"Paystation, PaybyPhone",Downtown,POINT (-97.1401048328147 49.8909787483271),"MULTILINESTRING ((-97.1399246141628 49.8910197134339, -97.1402850512716 49.8909377829157))"
1002,PBP-116,"AM, PM",2 HOUR,Main St,0900 - 1530,3,1.75,204336,PaybyPhone Only,Downtown,POINT (-97.1377780560973 49.9005335944457),"MULTILINESTRING ((-97.1378454039245 49.9004548976975, -97.1378427564146 49.9004579914076, -97.1377398817207 49.9005782015, -97.1377107058093 49.9006122898633))"
1056,4548,NONE,2 HOUR,Kennedy St,0800 - 1730,2,2.75,204312,"Paystation, PaybyPhone",Downtown,POINT (-97.1466279216003 49.8884176086839),"MULTILINESTRING ((-97.1465956689697 49.8883582107544, -97.1466601731379 49.8884770044456))"
129,PBP-120,NONE,9.5 HOUR,Ross Ave,0800 - 1730,18,1.75,204706,PaybyPhone Only,No Biz Zone,POINT (-97.1422329920375 49.9019274205899),"MULTILINESTRING ((-97.1414552742581 49.9016779370326, -97.1418279531335 49.9017974898133, -97.1421421424326 49.9018982772112, -97.1430107164653 49.9021769001861))"
455,3180,NONE,2 HOUR,King St,0800 - 1730,17,2.75,204317,"Paystation, PaybyPhone",Downtown,POINT (-97.1398646642707 49.899931226388),"MULTILINESTRING ((-97.1402809383516 49.8993640520954, -97.1398272247495 49.8999822370862, -97.1397957811299 49.9000223672651, -97.1394153886729 49.9004877369819))"
977,PBP-051,NONE,2 HOUR,Lily St,0800 - 1730,1,1.75,204524,PaybyPhone Only,Exchange,POINT (-97.1346450761248 49.9001545572185),"MULTILINESTRING ((-97.1346979496969 49.9001248228573, -97.1346796872874 49.9001345619057, -97.1345928094549 49.9001847522935))"
243,3125,"AM, PM",2 HOUR,Broadway,0900 - 1530,9,1.75,204218,"Paystation, PaybyPhone",Downtown,POINT (-97.1462905605106 49.8863901912816),"MULTILINESTRING ((-97.1458714453675 49.8864851418181, -97.1467096751612 49.8862952389725))"
